team,year
Royal Challengers Bangalore,2008
Delhi Daredevils,2008
Kolkata Knight Riders,2008
Mumbai Indians,2008
Rajasthan Royals,2008
Chennai Super Kings,2008
Deccan Chargers,2008
Punjab Kings,2008
Deccan Chargers,2009
Chennai Super Kings,2009
Delhi Daredevils,2009
Rajasthan Royals,2009
Kolkata Knight Riders,2009
Royal Challengers Bangalore,2009
Punjab Kings,2009
Mumbai Indians,2009
Kolkata Knight Riders,2010
Punjab Kings,2010
Chennai Super Kings,2010
Rajasthan Royals,2010
Mumbai Indians,2010
Royal Challengers Bangalore,2010
Deccan Chargers,2010
Delhi Daredevils,2010
Chennai Super Kings,2011
Punjab Kings,2011
Royal Challengers Bangalore,2011
Pune Warriors,2011
Kolkata Knight Riders,2011
Rajasthan Royals,2011
Delhi Daredevils,2011
Mumbai Indians,2011
Kochi Tuskers Kerala,2011
Deccan Chargers,2011
Rajasthan Royals,2012
Chennai Super Kings,2012
Punjab Kings,2012
Royal Challengers Bangalore,2012
Deccan Chargers,2012
Kolkata Knight Riders,2012
Pune Warriors,2012
Delhi Daredevils,2012
Mumbai Indians,2012
Delhi Daredevils,2013
Royal Challengers Bangalore,2013
Sunrisers Hyderabad,2013
Punjab Kings,2013
Chennai Super Kings,2013
Kolkata Knight Riders,2013
Mumbai Indians,2013
Rajasthan Royals,2013
Pune Warriors,2013
Delhi Daredevils,2014
Kolkata Knight Riders,2014
Punjab Kings,2014
Royal Challengers Bangalore,2014
Chennai Super Kings,2014
Rajasthan Royals,2014
Sunrisers Hyderabad,2014
Mumbai Indians,2014
Rajasthan Royals,2015
Royal Challengers Bangalore,2015
Mumbai Indians,2015
Delhi Daredevils,2015
Chennai Super Kings,2015
Sunrisers Hyderabad,2015
Kolkata Knight Riders,2015
Punjab Kings,2015
Royal Challengers Bangalore,2016
Punjab Kings,2016
Mumbai Indians,2016
Rising Pune Supergiant,2016
Kolkata Knight Riders,2016
Sunrisers Hyderabad,2016
Gujarat Lions,2016
Delhi Daredevils,2016
Gujarat Lions,2017
Mumbai Indians,2017
Kolkata Knight Riders,2017
Royal Challengers Bangalore,2017
Rising Pune Supergiant,2017
Sunrisers Hyderabad,2017
Delhi Daredevils,2017
Punjab Kings,2017
Sunrisers Hyderabad,2018
Royal Challengers Bangalore,2018
Chennai Super Kings,2018
Mumbai Indians,2018
Punjab Kings,2018
Delhi Daredevils,2018
Rajasthan Royals,2018
Kolkata Knight Riders,2018
Mumbai Indians,2019
Royal Challengers Bangalore,2019
Punjab Kings,2019
Sunrisers Hyderabad,2019
Kolkata Knight Riders,2019
Delhi Capitals,2019
Rajasthan Royals,2019
Chennai Super Kings,2019
Mumbai Indians,2020
Punjab Kings,2020
Chennai Super Kings,2020
Kolkata Knight Riders,2020
Royal Challengers Bangalore,2020
Rajasthan Royals,2020
Delhi Capitals,2020
Sunrisers Hyderabad,2020
Delhi Capitals,2021
Royal Challengers Bangalore,2021
Punjab Kings,2021
Kolkata Knight Riders,2021
Mumbai Indians,2021
Rajasthan Royals,2021
Sunrisers Hyderabad,2021
Chennai Super Kings,2021
Mumbai Indians,2022
Punjab Kings,2022
Kolkata Knight Riders,2022
Royal Challengers Bangalore,2022
Lucknow Super Giants,2022
Delhi Capitals,2022
Rajasthan Royals,2022
Sunrisers Hyderabad,2022
Gujarat Titans,2022
Chennai Super Kings,2022
Mumbai Indians,2023
Punjab Kings,2023
Lucknow Super Giants,2023
Chennai Super Kings,2023
Gujarat Titans,2023
Royal Challengers Bangalore,2023
Delhi Capitals,2023
Kolkata Knight Riders,2023
Rajasthan Royals,2023
Sunrisers Hyderabad,2023
